#p	Deff			peff
0.00	0.0000000000	0.00000000000000000
0.10	3.140851E-03	9.5760525558590895E-002
0.20	8.213464E-03	0.17512616741150619
0.30	1.404042E-02	0.23775220059260727
0.40	1.958197E-02	0.28806460860192773
0.50	2.435605E-02	0.32991061798810961
0.60	2.732279E-02	0.36621215292602777	
0.70	2.912516E-02	0.39918637129157780	
0.80	2.879868E-02	0.43093615517377853			
0.90	2.436799E-02	0.46357077775760130
0.95	1.913406E-02	0.48168094978829196	
