a1,a2,b1,N_mito,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
0.2,0.01,0.001,50,0.9713456569270523,9.5,0.9955555555555555,1.1,0.0044444444444444444,0.0,0.9955555555555555,0.014223812363347249,0.5575490703284236,0.42822711730822904,10000.0
0.2,0.01,0.01,50,0.9106247529177193,9.2,0.984090909090909,1.2,0.0,0.015909090909090907,0.984090909090909,0.051748968086177384,0.5057599915682729,0.4424910403455497,1000.0
0.2,0.01,0.1,50,0.6008919765534674,3.9,0.9694608843537414,1.5,0.0205391156462585,0.10387755102040816,0.8755833333333334,0.11567970969679045,0.6636258144891686,0.220694475814041,100.0
0.2,0.01,1.0,50,0.05134081272363298,0.5,0.42883688700171596,7.3,0.9061144081377448,0.09388559186225523,0.0,0.313706963588397,0.6095397742168622,0.07675326219474081,10.0
0.2,0.01,10.0,50,0.0,0.0,0.11558332152396603,23.5,1.0,0.0,0.0,0.6491035572047923,0.341139812155611,0.009756630639596692,1.0
0.2,0.01,20.0,50,0.0,0.0,0.07584963788676999,29.5,1.0,0.0,0.0,0.7479733334978955,0.24441168759915083,0.007614978902953587,0.5
0.2,0.01,50.0,50,0.0,0.0,0.06012825133786794,36.9,1.0,0.0,0.0,0.8494700780222717,0.14931040978260637,0.0012195121951219512,0.2
0.2,0.01,80.0,50,0.0,0.0,0.04660903965737084,40.6,1.0,0.0,0.0,0.89598848161575,0.10284872768657558,0.0011627906976744186,0.125
0.2,0.01,100.0,50,0.0,0.0,0.04091133760808874,41.0,1.0,0.0,0.0,0.9015815888764361,0.09610619513853282,0.0023122159850307404,0.1
0.2,0.01,150.0,50,0.0,0.0,0.036225011321627136,44.1,1.0,0.0,0.0,0.9367138021526952,0.0632861978473048,0.0,0.06666666666666667
0.2,0.01,200.0,50,0.0,0.0,0.03673119230626807,45.4,1.0,0.0,0.0,0.9515005549766858,0.048499445023314144,0.0,0.05
0.2,0.01,500.0,50,0.0,0.0,0.03210036089856453,46.6,1.0,0.0,0.0,0.9647101922700714,0.03528980772992865,0.0,0.02
0.2,0.01,800.0,50,0.0,0.0,0.030583236106063793,48.1,1.0,0.0,0.0,0.9805587964645401,0.0194412035354598,0.0,0.0125
0.2,0.01,1000.0,50,0.0,0.0,0.032582611301315276,48.3,1.0,0.0,0.0,0.9836724067946454,0.01529666537030307,0.0010309278350515464,0.01
