a1,a2,b1,N_mito,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
10,0.01,0.001,50,0.9429387755102041,2.3,0.9219183673469388,1.6,0.008081632653061225,0.296,0.6959183673469388,0.008081632653061225,0.9546626139817629,0.03725575336517585,500000.0
10,0.01,0.01,50,0.9010593067014039,3.0,0.8590864090316979,1.7,0.0,0.3329135909683022,0.6670864090316978,0.002040816326530612,0.9416558112606745,0.05630337241279489,50000.0
10,0.01,0.1,50,0.5525255102040817,1.8,0.9016734693877553,2.0,0.026000000000000002,0.5903265306122448,0.3836734693877551,0.046164965986394566,0.9152585034013606,0.0385765306122449,5000.0
10,0.01,1.0,50,0.5457552328623756,1.9,0.8914531658817374,2.0,0.07538932496075354,0.6513113553113553,0.2732993197278911,0.04366091051805337,0.9158016745159602,0.04053741496598639,500.0
10,0.01,10.0,50,0.07735849056603773,0.2,0.45119697829479366,4.9,0.8924528301886792,0.10754716981132076,0.0,0.17988971380232552,0.8110458273566516,0.009064458841022891,50.0
10,0.01,20.0,50,0.03050682261208577,0.2,0.3286569254222096,6.8,0.9694931773879143,0.03050682261208577,0.0,0.2315377899892705,0.7684622100107295,0.0,25.0
10,0.01,50.0,50,0.0,0.0,0.22018776175106525,10.5,1.0,0.0,0.0,0.3487454791906004,0.6512545208093997,0.0,10.0
10,0.01,80.0,50,0.006557377049180328,0.1,0.21753366510538644,11.4,0.9934426229508198,0.006557377049180328,0.0,0.372116185271923,0.6226457194899819,0.005238095238095238,6.25
10,0.01,100.0,50,0.014069478908188587,0.3,0.1662432735199616,13.7,0.9859305210918115,0.014069478908188587,0.0,0.42616888732508607,0.5706557094491076,0.0031754032258064515,5.0
10,0.01,150.0,50,0.01076923076923077,0.2,0.17173321830491392,14.7,0.9892307692307692,0.01076923076923077,0.0,0.44913704928658627,0.5508629507134136,0.0,3.3333333333333335
10,0.01,200.0,50,0.0,0.0,0.1553874457801152,18.0,1.0,0.0,0.0,0.5289105943233633,0.47108940567663654,0.0,2.5
10,0.01,500.0,50,0.0225,0.3,0.08382959867137083,29.0,0.9775,0.0225,0.0,0.729144800347332,0.27085519965266797,0.0,1.0
10,0.01,800.0,50,0.0,0.0,0.06950319182721158,29.4,1.0,0.0,0.0,0.7419039923748167,0.256797306326482,0.0012987012987012987,0.625
10,0.01,1000.0,50,0.0,0.0,0.06584897627128634,31.3,1.0,0.0,0.0,0.7675597588715498,0.23244024112845016,0.0,0.5
