a1,a2,b1,N_mito,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
0.002,0.0,0.001,50,0.10467190761308406,0.6,0.5652211448271381,4.4,0.8953280923869158,0.10467190761308406,0.0,0.14044304854515732,0.8595569514548428,0.0,100.0
0.002,0.0,0.01,50,0.035483870967741936,0.6,0.2190062338402897,10.4,0.964516129032258,0.035483870967741936,0.0,0.3271684235002582,0.6728315764997419,0.0,10.0
0.002,0.0,0.1,50,0.0,0.0,0.0805869620938114,27.1,1.0,0.0,0.0,0.7022375378539762,0.2977624621460237,0.0,1.0
0.002,0.0,1.0,50,0.0,0.0,0.04518199695838823,40.9,1.0,0.0,0.0,0.8991046366097486,0.10089536339025147,0.0,0.1
0.002,0.0,10.0,50,0.0,0.0,0.030581960994332125,48.1,1.0,0.0,0.0,0.9806013001889291,0.019398699811070945,0.0,0.01
0.002,0.0,20.0,50,0.0,0.0,0.030364873222016076,48.8,1.0,0.0,0.0,0.9878375592661307,0.012162440733869306,0.0,0.005
0.002,0.0,50.0,50,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.002
0.002,0.0,80.0,50,0.0,0.0,0.030364873222016076,48.8,1.0,0.0,0.0,0.9878375592661307,0.012162440733869304,0.0,0.00125
0.002,0.0,100.0,50,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.001
0.002,0.0,150.0,50,0.0,0.0,0.03033395176252319,48.9,1.0,0.0,0.0,0.9888682745825601,0.011131725417439703,0.0,0.0006666666666666668
0.002,0.0,200.0,50,0.0,0.0,0.030333951762523192,48.9,1.0,0.0,0.0,0.9888682745825603,0.011131725417439703,0.0,0.0005
0.002,0.0,500.0,50,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.0002
0.002,0.0,800.0,50,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.000125
0.002,0.0,1000.0,50,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.0001
