a1,a2,b1,N_mito,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
10,0.0,0.001,50,0.992,1.5,0.8979999999999999,1.7,0.008,0.992,0.0,0.008,0.992,0.0,500000.0
10,0.0,0.01,50,0.9879999999999999,2.0,0.8320000000000001,2.3,0.012,0.9879999999999999,0.0,0.012,0.9879999999999999,0.0,50000.0
10,0.0,0.1,50,0.7663529411764706,2.0,0.7185490196078432,2.9,0.2336470588235294,0.7663529411764706,0.0,0.0356078431372549,0.9643921568627452,0.0,5000.0
10,0.0,1.0,50,0.36442983579498567,1.1,0.5970495745467999,2.9,0.6355701642050144,0.36442983579498567,0.0,0.06939298215657816,0.930607017843422,0.0,500.0
10,0.0,10.0,50,0.23922706399121493,1.7,0.36603091968533874,6.4,0.760772936008785,0.23922706399121493,0.0,0.17099519333878815,0.8290048066612119,0.0,50.0
10,0.0,20.0,50,0.05871269081795397,0.6,0.3208985526648328,7.2,0.941287309182046,0.05871269081795397,0.0,0.23224552564427675,0.7677544743557233,0.0,25.0
10,0.0,50.0,50,0.028933995942828493,0.4,0.24373390395334055,10.4,0.9710660040571714,0.028933995942828493,0.0,0.33221898299911357,0.6677810170008865,0.0,10.0
10,0.0,80.0,50,0.03332422088572991,0.3,0.218802579531974,12.7,0.96667577911427,0.03332422088572991,0.0,0.3965003903665741,0.603499609633426,0.0,6.25
10,0.0,100.0,50,0.013008989952406135,0.2,0.25139876924768545,12.2,0.9869910100475938,0.013008989952406135,0.0,0.3860057999373276,0.6139942000626725,0.0,5.0
10,0.0,150.0,50,0.010255863539445628,0.2,0.1508406604139775,17.7,0.9897441364605545,0.010255863539445628,0.0,0.5190807012871085,0.4809192987128914,0.0,3.3333333333333335
10,0.0,200.0,50,0.0,0.0,0.15696054637168744,19.2,1.0,0.0,0.0,0.5580634467537655,0.44193655324623443,0.0,2.5
10,0.0,500.0,50,0.0,0.0,0.09261718378373941,25.9,1.0,0.0,0.0,0.6827440755821835,0.31725592441781647,0.0,1.0
10,0.0,800.0,50,0.0,0.0,0.0734349543189368,29.1,1.0,0.0,0.0,0.7344109165836415,0.2655890834163585,0.0,0.625
10,0.0,1000.0,50,0.0,0.0,0.0660505280310548,32.1,1.0,0.0,0.0,0.7822101578566116,0.21778984214338842,0.0,0.5
