0.0510    1117784.1391020031		#845205.39818676980     
0.1602    167822.81169491127		#152220.23736499870     
0.28125   23526.348509015144		#26067.976187274369     
0.418     5339.0296554200759		#7389.6604227267508     
0.5765    1466.1963278847436		#2062.6046216689829     
0.6666    1010.6762646178015		#2606.5712495728758     
0.8769    397.39307153400557		#1103.8696431500166     
