0.0510   9833.3025296660762	#7435.3894364204789     
0.1602   3169.7516767726256	#2875.0582102246026     
0.28125  1444.7968326406688	#1600.8829170533720     
0.418    925.03928854801052	#1280.3311952221607     
0.5765   728.20658082859404	#1117.6925077166600     
0.6666   547.66932878116347	#1294.5894770286122     
0.8769   406.99435103887583	#1130.5398639968780     
