0.05125   731269.34138875734	#810270.73838089418     
0.1625    79353.123057102974	#409831.31218976193     
0.36      6859.7140083921713 	#13999.416343657493     
0.4375    2777.0596221404326	#9180.3623872411008     
0.61875   1613.9833252790322	#5335.4820670381223     
0.8525    466.81190242782691	#2305.2439626065529     
1.0000    375.94071386652757	#2349.6294616657983     
