   20000.000949949026        341.16389299396525     
   2000.0000949949026        384.48245548124066     
   200.00000949949023        286.84938674908534     
   20.000000949949026        353.32712007943525     
   2.0000000949949026        1090.6063922985609     
  0.20000000949949026        89440.872622354495     
   2.0000000949949026E-002   193412.23808133160     
   2.0000000949949026E-003   468710.04712894780     
   1.0000000474974513E-003   645190.33398934128     
   4.0000001899898052E-004   1134406.9954459174     
   2.0000000949949026E-004   1694237.0828676426     
   1.0000000474974513E-004   3778291.6873831535     
   4.0000001899898055E-005   8920743.5992289595     
   2.0000000949949027E-005   18758482.891180657     
   1.3333333966632683E-005   22511242.477489404     
   1.0000000474974514E-005   35012221.211814508     
   6.6666669833163416E-006   49069761.681741089     
   4.0000001899898050E-006   88091176.814707950     
