0.0000		0.00000000000000000
0.05125		5.7319460477903678E-002 	#5.1730813081308051E-002
0.1625		0.27453513517441758	        #0.19835163516351606
0.3600		0.86860797764956987		#0.42547248724872505
0.4375	        1.1057897681949682		#0.47396075607560673
0.61875 	1.8280934143461871		#0.53349098270150830
0.8525		2.5863163656267103		#0.54817457594816199
1.000		3.2258771929824563

#1.0000		2.2349664224664223		#0.50256410256410255

#1.0000	0.34715122377622376
