0.0000		0.00000000000000000
0.05125		8.2199909741666969E-004		#7.4185418541854392E-004
0.1625		5.8680470123137086E-003		#4.2396639663966271E-003	
0.36		7.6141369238964474E-002		#3.7309270927092630E-002
0.4375		0.18990993911963339		#7.3307530753075265E-002
0.61875		0.79740693937456120		#0.24404569115095440
0.8525		2.2504978096375963		#0.46736631016042807	
1.000		3.3365131578947369		#0.51146521739130435
